Global Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
198311,0.2142
198312,0.2432
198401,0.2491
198402,0.2527
198403,0.2283
198404,0.1765
198405,0.1729
198406,0.1364
198407,0.1448
198408,0.1748
198409,0.2391
198410,0.1423
198411,0.1396
198412,0.1395
198501,0.1558
198502,0.1730
198503,0.1575
198504,0.1062
198505,0.1628
198506,0.1356
198507,0.1513
198508,0.1165
198509,0.1689
198510,0.1641
198511,0.1710
198512,0.1973
198601,0.1652
198602,0.2007
198603,0.1821
198604,0.1808
198605,0.1989
198606,0.2238
198607,0.2061
198608,0.1903
198609,0.2291
198610,0.2659
198611,0.2229
198612,0.2386
198701,0.2629
198702,0.2762
198703,0.3223
198704,0.3112
198705,0.3159
198706,0.3073
198707,0.3680
198708,0.4024
198709,0.4317
198710,0.4079
198711,0.4363
198712,0.3899
198801,0.4534
198802,0.4286
198803,0.4034
198804,0.3664
198805,0.3301
198806,0.2912
198807,0.2854
198808,0.2745
198809,0.2655
198810,0.2493
198811,0.1667
198812,0.1739
198901,0.1874
198902,0.2159
198903,0.2090
198904,0.2514
198905,0.2395
198906,0.2691
198907,0.3045
198908,0.3122
198909,0.3122
198910,0.2712
198911,0.2827
198912,0.2659
199001,0.2940
199002,0.3436
199003,0.3938
199004,0.3873
199005,0.3899
199006,0.3623
199007,0.3979
199008,0.3615
199009,0.3430
199010,0.3930
199011,0.3886
199012,0.3728
199101,0.3588
199102,0.3455
199103,0.3558
199104,0.4089
199105,0.3832
199106,0.4180
199107,0.4257
199108,0.3816
199109,0.3289
199110,0.2850
199111,0.2849
199112,0.2840
199201,0.2865
199202,0.3057
199203,0.3199
199204,0.3227
199205,0.3335
199206,0.3175
199207,0.2411
199208,0.2044
199209,0.1868
199210,0.1699
199211,0.1589
199212,0.1951
199301,0.2634
199302,0.2707
199303,0.2621
199304,0.2817
199305,0.3204
199306,0.2946
199307,0.2457
199308,0.2236
199309,0.2402
199310,0.2387
199311,0.2276
199312,0.2255
199401,0.2367
199402,0.2240
199403,0.2418
199404,0.2678
199405,0.3017
199406,0.2974
199407,0.3052
199408,0.3170
199409,0.2984
199410,0.3466
199411,0.3519
