"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLTCBUS","199709","1.806164","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199710","1.812595","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199711","1.759272","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199712","1.920468","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199713","21.445411","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199801","1.891535","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199802","1.660188","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199803","1.722384","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199804","1.602345","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199805","1.737653","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199806","1.865706","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199807","2.042377","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199808","2.039581","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199809","1.841326","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199810","1.75168","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199811","1.666298","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199812","1.83467","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199813","21.655744","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199901","1.899404","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199902","1.64394","1","Coal Consumption","Quadrillion Btu"
